RPM,ADOC(mm),Feedrate(mm/min),RMS(Feed),RMS(Normal),RMS(Axial),RMS-Instantaneous(n-m),RMS-Cumulative(n-m),,,RPM,ADOC(mm),Feedrate(mm/min),RMS(Feed),RMS(Normal),RMS(Axial),RMS-Instantaneous(n-m),RMS-Cumulative(n-m),,,RPM,ADOC(mm),Feedrate(mm/min),RMS(Feed),RMS(Normal),RMS(Axial),RMS-Instantaneous(n-m),RMS-Cumulative(n-m),,,RPM,ADOC(mm),Feedrate(mm/min),RMS(Feed),RMS(Normal),RMS(Axial),RMS-Instantaneous(n-m),RMS-Cumulative(n-m),,,RPM,ADOC(mm),Feedrate(mm/min),RMS(Feed),RMS(Normal),RMS(Axial),RMS-Instantaneous(n-m),RMS-Cumulative(n-m),,,,RPM,ADOC(mm),Feedrate(mm/min),RMS(Feed),RMS(Normal),RMS(Axial),RMS-Instantaneous(n-m),RMS-Cumulative(n-m)
300,1.3,0.21,154.1846819,595.7212514,540.6496299,2.661176099,2.649122038,,,800,1.3,0.21,154.1646422,595.72724,540.6394009,2.661091708,2.64910496,,,1300,1.3,0.21,154.1846819,595.7212514,540.6496299,2.661176099,2.649122038,,,1800,1.3,0.21,154.1646422,595.72724,540.6394009,2.661091708,2.649029743,,,2300,1.3,0.21,154.1846819,595.7212514,540.6496299,2.661176099,2.649122038,,,,2800,1.3,0.21,154.1846819,595.7212514,540.6496299,2.661176099,2.649122038
300,1.3,0.22,157.7313642,617.506534,546.4367587,2.755815772,2.742730264,,,800,1.3,0.22,157.7128689,617.5119731,546.4274914,2.755739413,2.742714523,,,1300,1.3,0.22,157.7313642,617.506534,546.4367587,2.755815772,2.742730264,,,1800,1.3,0.22,157.7128689,617.5119731,546.4274914,2.755739413,2.742645965,,,2300,1.3,0.22,157.7313642,617.506534,546.4367587,2.755815772,2.742730264,,,,2800,1.3,0.22,157.7313642,617.506534,546.4367587,2.755815772,2.742730264
300,1.3,0.23,161.2649331,639.3365771,552.2434971,2.850736636,2.836610346,,,800,1.3,0.23,161.2449762,639.3423648,552.2336614,2.850655626,2.836593451,,,1300,1.3,0.23,161.2649331,639.3365771,552.2434971,2.850736636,2.836610346,,,1800,1.3,0.23,161.2449762,639.3423648,552.2336614,2.850655626,2.836520196,,,2300,1.3,0.23,161.2649331,639.3365771,552.2434971,2.850736636,2.836610346,,,,2800,1.3,0.23,161.2649331,639.3365771,552.2434971,2.850736636,2.836610346
300,1.3,0.24,164.7751024,661.2097222,558.0684333,2.945923767,2.930745235,,,800,1.3,0.24,164.7536222,661.2158726,558.0580074,2.945837917,2.930726946,,,1300,1.3,0.24,164.7751024,661.2097222,558.0684333,2.945923767,2.930745235,,,1800,1.3,0.24,164.7536222,661.2158726,558.0580074,2.945837917,2.93064885,,,2300,1.3,0.24,164.7751024,661.2097222,558.0684333,2.945923767,2.930745235,,,,2800,1.3,0.24,164.7751024,661.2097222,558.0684333,2.945923767,2.930745235
300,1.3,0.25,168.2545374,683.1250573,563.9214757,3.041387379,3.025182188,,,800,1.3,0.25,168.2315334,683.131585,563.9104365,3.041296485,3.025162481,,,1300,1.3,0.25,168.2545374,683.1250573,563.9214757,3.041387379,3.025182188,,,1800,1.3,0.25,168.2315334,683.131585,563.9104365,3.041296485,3.025079472,,,2300,1.3,0.25,168.2545374,683.1250573,563.9214757,3.041387379,3.025182188,,,,2800,1.3,0.25,168.2545374,683.1250573,563.9214757,3.041387379,3.025182188
300,1.3,0.26,171.7697539,705.0414968,569.7642967,3.136683931,3.119378598,,,800,1.3,0.26,171.7450163,705.0484152,569.7526237,3.136587885,3.1193574,,,1300,1.3,0.26,171.7697539,705.0414968,569.7642967,3.136683931,3.119378598,,,1800,1.3,0.26,171.7450163,705.0484152,569.7526237,3.136587885,3.11926926,,,2300,1.3,0.26,171.7697539,705.0414968,569.7642967,3.136683931,3.119378598,,,,2800,1.3,0.26,171.7697539,705.0414968,569.7642967,3.136683931,3.119378598
300,1.3,0.27,175.2807543,727.0008245,575.6268956,3.232243934,3.213832762,,,800,1.3,0.27,175.2542116,727.0081483,575.614566,3.232142532,3.213810049,,,1300,1.3,0.27,175.2807543,727.0008245,575.6268956,3.232243934,3.213832762,,,1800,1.3,0.27,175.2542116,727.0081483,575.614566,3.232142532,3.213716396,,,2300,1.3,0.27,175.2807543,727.0008245,575.6268956,3.232243934,3.213832762,,,,2800,1.3,0.27,175.2807543,727.0008245,575.6268956,3.232243934,3.213832762
300,1.3,0.28,178.6964545,749.0501645,581.5395031,3.32866124,3.309360706,,,800,1.3,0.28,178.668335,749.0579124,581.5264906,3.328554112,3.309336359,,,1300,1.3,0.28,178.6964545,749.0501645,581.5395031,3.32866124,3.309360706,,,1800,1.3,0.28,178.668335,749.0579124,581.5264906,3.328554112,3.309237125,,,2300,1.3,0.28,178.6964545,749.0501645,581.5395031,3.32866124,3.309360706,,,,2800,1.3,0.28,178.6964545,749.0501645,581.5395031,3.32866124,3.309360706
300,1.3,0.29,182.187641,771.1016152,587.4455839,3.424818316,3.404424219,,,800,1.3,0.29,182.1576148,771.1097992,587.4318679,3.424705422,3.404398332,,,1300,1.3,0.29,182.187641,771.1016152,587.4455839,3.424818316,3.404424219,,,1800,1.3,0.29,182.1576148,771.1097992,587.4318679,3.424705422,3.404293201,,,2300,1.3,0.29,182.187641,771.1016152,587.4455839,3.424818316,3.404424219,,,,2800,1.3,0.29,182.187641,771.1016152,587.4455839,3.424818316,3.404424219
300,1.4,0.2,164.5162107,614.0994675,559.7682745,2.742846415,2.728980717,,,800,1.4,0.2,164.4916324,614.1068159,559.7558822,2.742747101,2.728965883,,,1300,1.4,0.2,164.5162107,614.0994675,559.7682745,2.742846415,2.728980717,,,1800,1.4,0.2,164.4916324,614.1068159,559.7558822,2.742747101,2.728884337,,,2300,1.4,0.2,164.5162107,614.0994675,559.7682745,2.742846415,2.728980717,,,,2800,1.4,0.2,164.5162107,614.0994675,559.7682745,2.742846415,2.728980717
300,1.4,0.21,168.4647517,637.5477192,565.8487869,2.846395783,2.831382209,,,800,1.4,0.21,168.4383648,637.555523,565.8357554,2.846290784,2.831366173,,,1300,1.4,0.21,168.4647517,637.5477192,565.8487869,2.846395783,2.831382209,,,1800,1.4,0.21,168.4383648,637.555523,565.8357554,2.846290784,2.831279468,,,2300,1.4,0.21,168.4647517,637.5477192,565.8487869,2.846395783,2.831382209,,,,2800,1.4,0.21,168.4647517,637.5477192,565.8487869,2.846395783,2.831382209
300,1.4,0.22,172.4276883,661.0435552,571.9500794,2.950197166,2.933999307,,,800,1.4,0.22,172.3993924,661.0518269,571.9363942,2.950086323,2.933982092,,,1300,1.4,0.22,172.4276883,661.0435552,571.9500794,2.950197166,2.933999307,,,1800,1.4,0.22,172.3993924,661.0518269,571.9363942,2.950086323,2.933890154,,,2300,1.4,0.22,172.4276883,661.0435552,571.9500794,2.950197166,2.933999307,,,,2800,1.4,0.22,172.4276883,661.0435552,571.9500794,2.950197166,2.933999307
300,1.4,0.23,176.3743456,684.5871213,578.0721051,3.054289331,3.036890651,,,800,1.4,0.23,176.3440716,684.5958739,578.0577506,3.05417244,3.036872233,,,1300,1.4,0.23,176.3743456,684.5871213,578.0721051,3.054289331,3.036890651,,,1800,1.4,0.23,176.3440716,684.5958739,578.0577506,3.05417244,3.036774967,,,2300,1.4,0.23,176.3743456,684.5871213,578.0721051,3.054289331,3.036890651,,,,2800,1.4,0.23,176.3743456,684.5871213,578.0721051,3.054289331,3.036890651
300,1.4,0.24,180.262683,708.2012219,584.2309783,3.15892732,3.140409365,,,800,1.4,0.24,180.2305249,708.2104708,584.2159373,3.158804156,3.140389696,,,1300,1.4,0.24,180.262683,708.2012219,584.2309783,3.15892732,3.140409365,,,1800,1.4,0.24,180.2305249,708.2104708,584.2159373,3.158804156,3.14028672,,,2300,1.4,0.24,180.262683,708.2012219,584.2309783,3.15892732,3.140409365,,,,2800,1.4,0.24,180.262683,708.2012219,584.2309783,3.15892732,3.140409365
300,1.4,0.25,184.1527243,731.8396618,590.4032833,3.26363297,3.243968618,,,800,1.4,0.25,184.1185855,731.8494198,590.3875402,3.263503377,3.243947554,,,1300,1.4,0.25,184.1527243,731.8396618,590.4032833,3.26363297,3.243968618,,,1800,1.4,0.25,184.1185855,731.8494198,590.3875402,3.263503377,3.243838771,,,2300,1.4,0.25,184.1527243,731.8396618,590.4032833,3.26363297,3.243968618,,,,2800,1.4,0.25,184.1527243,731.8396618,590.4032833,3.26363297,3.243968618
300,1.4,0.26,188.0519909,755.5056344,596.5849157,3.368413315,3.347578389,,,800,1.4,0.26,188.0157391,755.5159143,596.5684555,3.368277178,3.347555906,,,1300,1.4,0.26,188.0519909,755.5056344,596.5849157,3.368413315,3.347578389,,,1800,1.4,0.26,188.0157391,755.5159143,596.5684555,3.368277178,3.347441124,,,2300,1.4,0.26,188.0519909,755.5056344,596.5849157,3.368413315,3.347578389,,,,2800,1.4,0.26,188.0519909,755.5056344,596.5849157,3.368413315,3.347578389
